Year,College,Term,POT,Course ID,Title,CRN,Students,Primary,PEER,SELE,Respondents,Grade,Percentage of Students
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,NPs,10.70%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,As,13.60%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,Bs,36.40%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,Cs,9.10%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,Ds,0.00%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,Fs,0.00%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,Ps,4.50%
2020,University College,202021,1,GEN-175-901,Intro to Info Technology,21713,24,Y,NA,4.8,5,NPs,36.40%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,As,43.50%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,Bs,13.00%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,Cs,8.70%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,Ds,4.30%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,Fs,0.00%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,Ps,17.40%
2020,University College,202021,1,GEN-175-902,Intro to Info Technology,20823,24,Y,NA,4.75,8,NPs,13.00%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,As,54.20%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,Bs,8.30%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,Cs,0.00%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,Ds,0.00%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,Fs,0.00%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,Ps,29.20%
2020,University College,202021,1,GEN-175-903,Intro to Info Technology,21003,24,Y,NA,4.64,14,NPs,8.30%
